amount_players;round_result;MO;bank;timee;wkday;coeff
21.0;134.26;1.818;134.26;1716211868.06;1;1.0
20.0;65.77;1.81;65.77;1716211882.91;1;1.0
22.0;191.61;1.803;251.79;1716211901.36;1;1.31
19.0;435.1;1.798;435.1;1716211916.22;1;1.04
24.0;82.1;1.791;93.07;1716211932.19;1;1.11
25.0;0.22;1.785;111.0;1716211958.37;1;2.46
21.0;59.63;1.791;132.25;1716211992.09;1;3.0
22.0;13.23;1.802;43.04;1716212014.63;1;1.86
17.0;94.59;1.803;115.64;1716212034.09;1;1.53
25.0;-171.32;1.8;184.4;1716212064.34;1;3.0
19.0;258.23;1.81;258.8;1716212079.73;1;1.06
22.0;54.89;1.804;56.36;1716212096.65;1;1.27
21.0;11.97;1.8;49.83;1716212118.16;1;1.64
25.0;-32.59;1.798;208.0;1716212146.33;1;2.91
16.0;40.6;1.807;41.37;1716212161.16;1;1.04
24.0;-25.53;1.801;132.5;1716212191.39;1;3.0
21.0;11.55;1.81;106.76;1716212210.93;1;1.51
19.0;-43.16;1.808;76.62;1716212259.94;1;3.0
22.0;74.81;1.817;75.84;1716212275.87;1;1.07
20.0;9.61;1.812;55.15;1716212299.48;1;2.13
23.0;235.0;1.814;235.56;1716212314.37;1;1.04
18.0;21.58;1.808;21.58;1716212328.7;1;1.01
17.0;-1745.12;1.802;614.04;1716212364.43;1;3.0
17.0;34.88;1.811;36.58;1716212379.18;1;1.04
17.0;-23.91;1.805;66.47;1716212407.27;1;2.97
17.0;-52.86;1.814;29.13;1716212471.48;1;3.0
19.0;249.21;1.822;262.24;1716212491.46;1;1.58
19.0;198.79;1.821;227.02;1716212513.98;1;1.88
21.0;-11.81;1.821;62.61;1716212537.53;1;2.2
19.0;31.32;1.824;31.32;1716212551.87;1;1.02
17.0;75.23;1.818;75.23;1716212566.71;1;1.0
20.0;65.89;1.812;119.05;1716212584.17;1;1.21
16.0;-335.98;1.808;104.36;1716212626.51;1;3.0
18.0;-61.8;1.816;52.98;1716212667.33;1;3.0
17.0;42.22;1.825;48.35;1716212688.31;1;1.71
22.0;2.46;1.824;53.59;1716212714.41;1;2.53
16.0;35.39;1.828;156.03;1716212735.4;1;1.67
21.0;-1.12;1.828;53.23;1716212759.05;1;2.1
17.0;225.93;1.829;226.73;1716212773.91;1;1.02
21.0;23.78;1.824;53.18;1716212794.92;1;1.63
20.0;73.42;1.822;85.66;1716212814.39;1;1.45
19.0;45.5;1.819;72.25;1716212833.4;1;1.42
24.0;193.34;1.817;205.79;1716212848.83;1;1.09
21.0;47.06;1.812;221.43;1716212866.78;1;1.25
18.0;153.3;1.808;238.15;1716212900.95;1;3.0
22.0;81.17;1.816;135.29;1716212929.07;1;2.82
20.0;339.51;1.822;359.7;1716212945.54;1;1.16
18.0;339.25;1.818;339.9;1716212960.4;1;1.03
16.0;33.28;1.813;40.39;1716212978.85;1;1.36
21.0;-77.42;1.81;54.68;1716213047.7;1;3.0
17.0;142.91;1.818;169.56;1716213067.67;1;1.6
19.0;297.61;1.816;314.73;1716213082.0;1;1.02
19.0;-38.98;1.811;196.97;1716213103.5;1;1.67
23.0;186.74;1.811;187.53;1716213118.37;1;1.04
19.0;33.14;1.806;92.36;1716213142.4;1;2.17
24.0;-64.76;1.808;111.01;1716213183.25;1;3.0
21.0;69.07;1.815;154.09;1716213203.73;1;1.6
16.0;44.06;1.814;52.06;1716213218.56;1;1.07
18.0;204.63;1.81;205.25;1716213233.43;1;1.06
17.0;-9.69;1.805;24.95;1716213268.64;1;3.0
16.0;-84.22;1.812;235.67;1716213291.64;1;1.98
22.0;-101.6;1.814;66.33;1716213331.54;1;3.0
18.0;-126.61;1.821;93.62;1716213366.73;1;3.0
26.0;153.62;1.827;156.98;1716213384.25;1;1.23
21.0;-2.13;1.824;70.89;1716213411.39;1;2.74
21.0;75.64;1.829;75.64;1716213426.26;1;1.04
21.0;-60.6;1.824;97.32;1716213460.46;1;3.0
19.0;-85.91;1.831;64.78;1716213520.09;1;3.0
18.0;-40.58;1.837;69.1;1716213570.05;1;3.0
17.0;44.35;1.844;44.35;1716213584.88;1;1.0
16.0;-424.95;1.839;180.64;1716213618.04;1;3.0
24.0;25.94;1.846;243.3;1716213638.05;1;1.51
24.0;74.0;1.844;74.0;1716213653.48;1;1.04
22.0;73.7;1.839;92.28;1716213670.92;1;1.26
21.0;-0.17;1.836;215.59;1716213687.37;1;1.24
20.0;5.23;1.833;444.14;1716213704.28;1;1.2
21.0;49.42;1.829;188.16;1716213722.25;1;1.29
25.0;61.37;1.826;333.59;1716213741.76;1;1.47
21.0;-156.83;1.825;126.1;1716213811.59;1;3.0
21.0;31.03;1.831;113.26;1716213842.76;1;3.0
24.0;-15.02;1.837;121.82;1716213869.53;1;2.55
24.0;65.82;1.841;69.99;1716213885.08;1;1.08
21.0;19.08;1.837;66.49;1716213909.64;1;2.2
22.0;14.85;1.839;97.51;1716213929.17;1;1.53
21.0;67.27;1.837;89.31;1716213947.13;1;1.28
21.0;-42.43;1.834;86.93;1716213975.26;1;2.89
25.0;-520.66;1.84;118.62;1716214057.44;1;3.0
24.0;228.79;1.846;426.2;1716214081.03;1;2.06
25.0;17.62;1.847;81.89;1716214108.72;1;2.76
23.0;185.95;1.852;185.95;1716214123.16;1;1.03
23.0;60.71;1.847;95.98;1716214139.14;1;1.11
24.0;-132.45;1.844;78.64;1716214194.8;1;3.0
21.0;12.15;1.85;143.45;1716214228.49;1;3.0
21.0;309.94;1.855;324.43;1716214248.46;1;1.56
24.0;2.63;1.854;160.4;1716214272.56;1;2.14
22.0;257.76;1.855;257.76;1716214286.92;1;1.0
24.0;457.77;1.851;463.31;1716214302.85;1;1.08
24.0;-246.81;1.847;159.1;1716214339.19;1;3.0
23.0;-59.41;1.853;48.54;1716214384.69;1;3.0
22.0;274.65;1.858;274.65;1716214399.06;1;1.01
24.0;156.55;1.854;159.49;1716214417.0;1;1.31
21.0;61.7;1.852;62.7;1716214431.86;1;1.02
24.0;255.61;1.848;255.61;1716214447.27;1;1.02
21.0;77.94;1.844;77.94;1716214462.15;1;1.01
24.0;129.92;1.84;182.8;1716214478.62;1;1.14
21.0;427.04;1.836;434.58;1716214499.09;1;1.64
21.0;45.67;1.835;58.72;1716214515.49;1;1.13
23.0;101.27;1.832;101.27;1716214529.86;1;1.0
23.0;117.8;1.828;117.8;1716214544.78;1;1.01
21.0;-19.87;1.824;45.13;1716214572.95;1;2.86
21.0;-130.5;1.829;99.36;1716214612.8;1;3.0
23.0;60.03;1.834;61.57;1716214627.27;1;1.02
25.0;508.1;1.83;508.1;1716214641.68;1;1.0
22.0;4.26;1.827;74.55;1716214665.72;1;2.06
21.0;28.98;1.828;79.78;1716214699.92;1;3.0
23.0;58.09;1.833;136.8;1716214719.43;1;1.57
22.0;406.07;1.832;427.32;1716214735.37;1;1.15
22.0;-18.03;1.829;94.98;1716214760.44;1;2.33
21.0;223.36;1.831;223.36;1716214774.8;1;1.0
23.0;75.98;1.827;81.45;1716214792.27;1;1.22
24.0;-49.58;1.825;63.86;1716214839.21;1;3.0
20.0;82.97;1.83;88.01;1716214856.6;1;1.25
21.0;61.49;1.827;61.49;1716214870.96;1;1.0
23.0;37.85;1.823;123.15;1716214903.17;1;3.0
22.0;-40.3;1.828;102.98;1716214932.44;1;3.0
23.0;-69.25;1.833;101.97;1716214961.09;1;3.0
21.0;81.25;1.838;92.91;1716214980.09;1;1.43
22.0;298.43;1.837;315.74;1716214997.5;1;1.24
23.0;557.56;1.834;559.41;1716215012.41;1;1.07
22.0;-39.07;1.831;105.36;1716215042.59;1;3.0
22.0;25.27;1.836;38.35;1716215063.08;1;1.64
24.0;30.1;1.835;36.16;1716215079.01;1;1.1
25.0;-66.8;1.832;240.57;1716215106.74;1;2.71
23.0;303.85;1.835;310.76;1716215122.14;1;1.12
21.0;-37.17;1.832;81.96;1716215155.83;1;3.0
21.0;-18.61;1.837;68.34;1716215180.91;1;2.43
23.0;159.13;1.839;159.13;1716215195.8;1;1.0
21.0;3.79;1.836;42.33;1716215228.0;1;3.0
24.0;164.21;1.841;164.21;1716215242.88;1;1.0
21.0;-36.46;1.837;62.6;1716215280.68;1;3.0
21.0;-103.8;1.842;138.82;1716215325.07;1;3.0
21.0;-657.96;1.847;230.91;1716215369.96;1;3.0
22.0;278.69;1.851;280.69;1716215385.39;1;1.04
25.0;-25.71;1.848;124.11;1716215411.5;1;2.52
24.0;520.22;1.85;533.8;1716215428.44;1;1.25
23.0;51.03;1.848;58.48;1716215446.38;1;1.32
23.0;95.23;1.846;95.23;1716215460.76;1;1.0
24.0;61.21;1.842;79.16;1716215481.3;1;1.55
23.0;-24.59;1.841;61.35;1716215515.62;1;3.0
22.0;-58.19;1.846;355.48;1716215538.65;1;1.98
22.0;89.58;1.847;89.58;1716215553.03;1;1.04
23.0;-315.66;1.843;207.48;1716215590.33;1;3.0
23.0;-154.74;1.848;166.74;1716215618.98;1;3.0
25.0;-55.99;1.852;346.64;1716215644.7;1;2.35
22.0;98.51;1.854;108.2;1716215659.08;1;1.04
22.0;172.44;1.851;307.96;1716215682.12;1;1.9
21.0;-21.18;1.851;56.12;1716215721.45;1;3.0
26.0;-317.83;1.855;223.51;1716215768.97;1;3.0
21.0;-118.85;1.86;69.52;1716215808.34;1;3.0
26.0;50.5;1.864;75.5;1716215826.85;1;1.37
25.0;372.98;1.862;415.97;1716215848.38;1;1.66
21.0;104.43;1.862;129.46;1716215868.89;1;1.62
22.0;-69.18;1.861;92.96;1716215900.59;1;3.0
23.0;97.11;1.865;97.11;1716215914.97;1;1.0
21.0;17.59;1.862;44.78;1716215934.47;1;1.43
23.0;37.32;1.86;48.29;1716215955.55;1;1.68
23.0;-9.34;1.859;97.76;1716215979.66;1;2.18
23.0;-362.92;1.861;302.04;1716216018.54;1;3.0
21.0;106.05;1.865;129.49;1716216036.99;1;1.38
24.0;61.37;1.863;61.37;1716216051.89;1;1.0
23.0;-176.23;1.86;137.1;1716216100.88;1;3.0
21.0;213.22;1.864;213.22;1716216115.33;1;1.03
22.0;27.29;1.861;63.7;1716216137.85;1;1.92
25.0;105.31;1.861;107.9;1716216153.26;1;1.04
22.0;50.93;1.858;101.5;1716216174.75;1;1.72
25.0;-55.59;1.858;66.3;1716216214.13;1;3.0
20.0;-61.23;1.862;40.83;1716216250.36;1;3.0
24.0;60.87;1.866;60.87;1716216264.75;1;1.0
22.0;-443.26;1.863;273.69;1716216300.53;1;3.0
22.0;-42.63;1.867;76.92;1716216336.8;1;3.0
22.0;284.57;1.87;334.01;1716216355.82;1;1.38
24.0;168.9;1.869;268.59;1716216378.34;1;1.85
24.0;-27.55;1.869;125.0;1716216408.51;1;3.0
24.0;301.76;1.873;301.76;1716216422.9;1;1.0
23.0;-13.3;1.87;82.22;1716216454.61;1;3.0
22.0;79.55;1.874;79.55;1716216469.05;1;1.0
24.0;135.17;1.871;142.85;1716216487.54;1;1.33
24.0;2.48;1.869;314.76;1716216513.66;1;2.55
26.0;56.1;1.871;58.15;1716216528.57;1;1.08
24.0;106.27;1.868;106.27;1716216544.05;1;1.0
24.0;629.56;1.865;630.48;1716216559.46;1;1.07
22.0;-49.04;1.863;69.16;1716216594.22;1;3.0
23.0;136.46;1.867;137.65;1716216609.11;1;1.02
22.0;-55.71;1.864;127.75;1716216644.89;1;3.0
22.0;33.91;1.868;39.66;1716216663.85;1;1.39
26.0;186.3;1.866;191.03;1716216680.83;1;1.18
