amount_players;round_result;MO;bank;timee;wkday;coeff
22.0;66.85;1.884;70.25;1716308008.77;2;1.04
24.0;-76.76;1.884;93.26;1716308061.28;2;3.0
21.0;-105.06;1.884;58.38;1716308131.94;2;3.0
25.0;74.0;1.885;84.51;1716308149.45;2;1.27
22.0;-44.41;1.885;94.14;1716308183.29;2;3.0
25.0;24.8;1.886;113.3;1716308204.41;2;1.89
21.0;93.19;1.886;106.45;1716308223.89;2;1.42
25.0;105.7;1.885;109.17;1716308239.84;2;1.13
22.0;69.03;1.885;69.03;1716308254.8;2;1.02
24.0;-48.16;1.884;64.89;1716308285.09;2;3.0
25.0;-76.47;1.885;126.16;1716308314.35;2;3.0
23.0;173.65;1.886;173.65;1716308328.8;2;1.02
24.0;-30.3;1.885;90.29;1716308353.95;2;2.32
23.0;-2.91;1.885;166.28;1716308386.75;2;3.0
24.0;127.83;1.886;144.03;1716308406.27;2;1.45
24.0;-94.95;1.886;118.18;1716308453.77;2;3.0
23.0;91.93;1.887;179.4;1716308474.82;2;1.67
25.0;-83.15;1.886;148.56;1716308503.64;2;3.0
23.0;104.64;1.887;118.79;1716308522.63;2;1.38
23.0;358.92;1.887;376.53;1716308538.08;2;1.05
21.0;58.11;1.886;65.92;1716308553.15;2;1.04
20.0;-43.54;1.886;46.35;1716308594.47;2;3.0
25.0;23.66;1.887;72.82;1716308616.11;2;1.85
23.0;131.29;1.887;140.99;1716308631.06;2;1.07
26.0;258.44;1.886;311.57;1716308656.29;2;2.36
25.0;144.52;1.886;155.29;1716308674.28;2;1.35
24.0;15.1;1.886;120.33;1716308696.38;2;1.88
22.0;133.16;1.886;133.16;1716308710.95;2;1.03
22.0;-94.3;1.885;68.47;1716308771.0;2;3.0
24.0;66.43;1.886;66.43;1716308785.53;2;1.0
21.0;62.26;1.886;63.21;1716308800.93;2;1.04
24.0;-15.21;1.885;79.86;1716308825.58;2;2.18
24.0;-78.46;1.885;78.97;1716308862.9;2;3.0
21.0;42.65;1.886;58.14;1716308882.38;2;1.48
20.0;-365.2;1.886;274.54;1716308929.26;2;3.0
21.0;116.01;1.886;116.01;1716308943.66;2;1.02
23.0;112.0;1.886;116.43;1716308959.71;2;1.09
23.0;108.76;1.885;108.76;1716308974.66;2;1.02
24.0;-40.58;1.885;118.28;1716308999.34;2;2.14
22.0;40.68;1.885;59.33;1716309015.82;2;1.22
21.0;-23.97;1.884;86.02;1716309043.99;2;2.95
24.0;171.24;1.885;173.07;1716309059.55;2;1.08
21.0;-84.54;1.885;69.99;1716309109.45;2;3.0
25.0;272.35;1.885;274.1;1716309129.64;2;1.49
23.0;80.48;1.885;102.65;1716309146.65;2;1.2
23.0;63.32;1.885;65.36;1716309162.12;2;1.07
24.0;139.51;1.884;144.06;1716309180.69;2;1.37
24.0;213.66;1.884;216.26;1716309195.65;2;1.03
22.0;367.43;1.883;368.03;1716309211.58;2;1.08
22.0;-8.85;1.883;39.17;1716309239.92;2;2.85
26.0;93.68;1.883;93.68;1716309255.37;2;1.09
25.0;51.29;1.883;145.05;1716309281.06;2;2.31
25.0;21.63;1.883;64.07;1716309299.16;2;1.32
21.0;207.79;1.883;207.79;1716309313.59;2;1.0
27.0;251.16;1.882;269.16;1716309335.15;2;1.68
23.0;-108.52;1.882;92.98;1716309384.61;2;3.0
21.0;41.48;1.883;267.23;1716309407.19;2;2.03
20.0;45.4;1.883;57.66;1716309423.82;2;1.2
20.0;-0.47;1.882;65.93;1716309449.96;2;2.45
23.0;387.06;1.883;387.06;1716309464.93;2;1.03
23.0;3.57;1.882;223.35;1716309488.57;2;2.04
22.0;33.8;1.882;264.45;1716309508.12;2;1.46
22.0;130.07;1.882;130.07;1716309522.54;2;1.02
25.0;139.16;1.881;139.16;1716309537.64;2;1.02
21.0;260.04;1.881;265.04;1716309558.61;2;1.66
24.0;1.15;1.881;82.23;1716309599.51;2;3.0
23.0;-176.1;1.881;60.46;1716309669.71;2;3.0
22.0;65.79;1.882;65.79;1716309684.78;2;1.02
22.0;16.67;1.882;103.18;1716309709.95;2;2.32
22.0;-132.72;1.882;110.69;1716309744.73;2;3.0
26.0;-31.54;1.883;97.9;1716309777.99;2;3.0
24.0;89.36;1.883;89.36;1716309792.44;2;1.0
25.0;83.55;1.883;135.13;1716309810.62;2;1.29
23.0;-23.68;1.882;69.28;1716309839.3;2;2.95
24.0;-340.03;1.883;255.13;1716309876.11;2;3.0
24.0;-162.6;1.884;283.42;1716309900.78;2;2.23
21.0;-21.43;1.884;105.63;1716309928.4;2;2.81
23.0;57.33;1.885;67.98;1716309947.4;2;1.36
21.0;150.04;1.884;150.04;1716309961.81;2;1.03
23.0;-52.27;1.884;143.28;1716309994.25;2;3.0
21.0;0.75;1.884;82.76;1716310023.42;2;3.0
21.0;123.08;1.885;123.08;1716310038.82;2;1.03
25.0;268.25;1.885;269.91;1716310054.88;2;1.09
24.0;397.58;1.884;398.26;1716310070.32;2;1.07
22.0;84.96;1.884;86.7;1716310086.36;2;1.16
21.0;95.33;1.883;122.68;1716310102.31;2;1.14
25.0;-95.69;1.883;164.88;1716310145.88;2;3.0
25.0;-89.62;1.883;77.17;1716310187.04;2;3.0
26.0;111.55;1.884;113.3;1716310201.67;2;1.02
26.0;245.72;1.884;246.76;1716310217.23;2;1.05
24.0;-0.05;1.883;105.76;1716310244.23;2;2.66
24.0;216.4;1.884;248.34;1716310258.72;2;1.03
21.0;-27.85;1.883;97.27;1716310282.92;2;2.11
23.0;68.59;1.883;68.59;1716310298.14;2;1.05
22.0;-7.9;1.883;57.38;1716310323.34;2;2.36
24.0;-247.68;1.883;564.25;1716310346.57;2;2.03
23.0;-13.1;1.883;137.59;1716310379.68;2;3.0
23.0;30.73;1.884;208.2;1716310399.32;2;1.55
24.0;54.75;1.884;110.73;1716310417.92;2;1.4
25.0;-153.23;1.883;217.53;1716310450.37;2;3.0
23.0;65.49;1.884;76.2;1716310465.39;2;1.09
22.0;72.93;1.883;72.93;1716310480.84;2;1.02
24.0;158.19;1.883;213.91;1716310506.07;2;2.32
20.0;53.35;1.883;61.96;1716310523.19;2;1.23
22.0;247.27;1.883;247.27;1716310537.64;2;1.0
26.0;118.01;1.882;118.01;1716310552.72;2;1.02
23.0;184.95;1.882;191.84;1716310568.24;2;1.05
23.0;-48.08;1.881;67.75;1716310597.54;2;3.0
20.0;-13.26;1.882;49.71;1716310626.95;2;3.0
24.0;33.03;1.882;67.04;1716310642.93;2;1.13
22.0;134.04;1.882;134.04;1716310657.33;2;1.0
25.0;-72.5;1.881;71.23;1716310693.17;2;3.0
22.0;35.3;1.882;113.06;1716310711.21;2;1.32
23.0;-198.28;1.882;358.87;1716310743.03;2;3.0
22.0;-539.56;1.882;203.34;1716310786.38;2;3.0
23.0;332.24;1.883;349.05;1716310804.38;2;1.35
22.0;15.86;1.883;28.27;1716310822.08;2;1.33
24.0;-65.91;1.882;135.83;1716310889.27;2;3.0
21.0;53.0;1.883;54.77;1716310907.77;2;1.42
22.0;-36.9;1.883;89.2;1716310948.65;2;3.0
22.0;95.93;1.884;95.93;1716310963.57;2;1.0
22.0;30.82;1.883;50.1;1716310981.79;2;1.27
22.0;-17.7;1.883;33.59;1716311012.49;2;3.0
25.0;52.98;1.883;56.44;1716311028.49;2;1.07
21.0;-3.82;1.883;51.03;1716311053.21;2;2.33
22.0;42.17;1.883;62.19;1716311069.71;2;1.19
22.0;-330.02;1.883;267.85;1716311108.52;2;3.0
25.0;-23.53;1.883;51.17;1716311134.71;2;2.63
25.0;87.99;1.884;87.99;1716311149.65;2;1.0
22.0;103.37;1.883;103.37;1716311165.09;2;1.04
22.0;136.44;1.883;159.87;1716311186.86;2;1.77
22.0;-38.06;1.883;95.52;1716311216.58;2;3.0
23.0;286.6;1.883;286.6;1716311230.52;2;1.0
22.0;-122.25;1.883;89.28;1716311277.46;2;3.0
26.0;-125.59;1.884;125.46;1716311310.26;2;3.0
22.0;15.67;1.884;57.99;1716311331.45;2;1.72
21.0;58.54;1.884;102.98;1716311358.09;2;2.67
23.0;-15.96;1.885;48.83;1716311384.27;2;2.57
22.0;63.16;1.885;63.16;1716311398.82;2;1.02
24.0;222.84;1.885;364.43;1716311431.1;2;3.0
21.0;110.7;1.885;111.65;1716311446.04;2;1.04
22.0;47.84;1.885;63.87;1716311465.3;2;1.44
22.0;24.6;1.884;103.01;1716311482.8;2;1.3
23.0;45.64;1.884;117.85;1716311505.37;2;1.85
23.0;1.1;1.884;88.58;1716311530.57;2;2.43
22.0;-1.37;1.884;140.59;1716311554.19;2;2.03
24.0;104.49;1.885;105.84;1716311569.11;2;1.05
23.0;187.59;1.884;333.81;1716311590.17;2;1.73
23.0;30.56;1.884;56.91;1716311608.19;2;1.32
22.0;116.21;1.884;124.76;1716311623.65;2;1.11
22.0;-510.43;1.883;268.59;1716311660.1;2;3.0
23.0;67.21;1.884;134.83;1716311681.14;2;1.73
24.0;-39.15;1.884;44.43;1716311716.95;2;3.0
21.0;114.95;1.884;114.95;1716311732.61;2;1.09
22.0;93.72;1.884;105.37;1716311748.06;2;1.03
23.0;-74.73;1.883;71.76;1716311804.08;2;3.0
24.0;-375.9;1.884;402.28;1716311854.54;2;3.0
24.0;-49.45;1.885;61.96;1716311890.86;2;3.0
22.0;-67.07;1.885;58.97;1716311920.57;2;3.0
24.0;-136.01;1.886;189.4;1716311966.98;2;3.0
22.0;-99.82;1.887;56.43;1716312006.81;2;3.0
22.0;36.52;1.888;36.52;1716312021.73;2;1.01
24.0;60.19;1.887;77.49;1716312039.72;2;1.3
23.0;50.12;1.887;61.33;1716312056.41;2;1.15
21.0;-39.42;1.886;69.76;1716312089.16;2;3.0
21.0;72.92;1.887;84.87;1716312106.1;2;1.25
24.0;254.34;1.886;271.79;1716312127.7;2;1.8
22.0;93.0;1.886;93.0;1716312142.6;2;1.0
21.0;-21.55;1.886;184.96;1716312168.77;2;2.45
23.0;48.05;1.886;49.46;1716312183.69;2;1.03
23.0;47.44;1.886;90.27;1716312204.78;2;1.64
22.0;34.74;1.885;85.64;1716312221.26;2;1.16
22.0;51.69;1.885;256.68;1716312245.39;2;2.21
24.0;61.9;1.885;67.31;1716312264.39;2;1.36
24.0;114.7;1.885;114.7;1716312279.12;2;1.05
21.0;19.32;1.884;53.02;1716312301.16;2;1.86
21.0;102.14;1.884;102.14;1716312315.58;2;1.01
22.0;-17.38;1.884;123.09;1716312347.86;2;3.0
22.0;169.55;1.885;170.29;1716312363.3;2;1.06
23.0;390.42;1.884;436.54;1716312384.36;2;1.76
22.0;63.54;1.884;63.54;1716312399.79;2;1.03
24.0;15.37;1.883;286.86;1716312419.03;2;1.41
22.0;55.17;1.883;96.88;1716312441.62;2;1.93
24.0;52.01;1.883;227.34;1716312472.36;2;3.0
23.0;206.88;1.884;206.88;1716312487.58;2;1.07
22.0;74.41;1.883;80.35;1716312502.51;2;1.09
25.0;103.74;1.883;114.76;1716312520.53;2;1.25
20.0;17.91;1.882;49.69;1716312539.02;2;1.42
20.0;24.19;1.882;61.2;1716312560.25;2;1.7
23.0;61.79;1.882;62.74;1716312575.2;2;1.04
25.0;204.05;1.881;262.11;1716312594.25;2;1.44
18.0;-37.1;1.881;31.65;1716312629.99;2;3.0
26.0;52.71;1.882;131.27;1716312653.15;2;2.01
23.0;157.48;1.882;295.07;1716312678.32;2;2.32
22.0;-264.71;1.882;460.46;1716312708.13;2;3.0
24.0;82.22;1.883;87.71;1716312723.59;2;1.1
23.0;78.06;1.882;78.06;1716312739.0;2;1.03
23.0;84.0;1.882;84.97;1716312753.91;2;1.04
24.0;314.14;1.881;314.14;1716312769.2;2;1.05
24.0;149.56;1.881;151.13;1716312784.68;2;1.08
26.0;-242.98;1.88;184.16;1716312820.07;2;3.0
23.0;201.73;1.881;215.78;1716312835.52;2;1.1
21.0;-51.36;1.88;40.0;1716312875.88;2;3.0
24.0;-580.21;1.881;394.8;1716312911.67;2;3.0
23.0;60.95;1.882;89.77;1716312927.21;2;1.12
23.0;91.7;1.881;162.81;1716312947.77;2;1.62
24.0;36.4;1.881;233.95;1716312965.79;2;1.28
21.0;-45.5;1.881;73.54;1716313000.54;2;3.0
23.0;73.37;1.882;91.27;1716313022.6;2;1.88
22.0;134.59;1.882;134.59;1716313036.52;2;1.0
21.0;102.56;1.881;113.25;1716313052.46;2;1.09
21.0;-38.84;1.881;66.5;1716313087.85;2;3.0
22.0;-150.36;1.881;257.65;1716313132.26;2;3.0
24.0;-55.69;1.882;112.54;1716313159.46;2;2.75
22.0;61.93;1.882;61.93;1716313173.37;2;1.0
24.0;52.8;1.882;65.98;1716313196.95;2;1.96
21.0;115.23;1.882;465.22;1716313215.42;2;1.37
22.0;452.29;1.882;452.29;1716313230.85;2;1.03
22.0;-34.57;1.881;50.31;1716313259.52;2;3.0
22.0;50.48;1.882;74.12;1716313278.51;2;1.48
23.0;82.79;1.882;82.79;1716313292.43;2;1.0
21.0;63.86;1.881;251.94;1716313317.81;2;2.22
22.0;-20.82;1.881;50.94;1716313342.98;2;2.25
22.0;-60.78;1.881;90.18;1716313377.26;2;3.0
23.0;82.42;1.882;82.42;1716313391.69;2;1.0
23.0;-112.96;1.882;139.26;1716313424.95;2;3.0
20.0;-58.44;1.882;92.71;1716313452.06;2;2.75
21.0;38.84;1.883;40.08;1716313466.98;2;1.05
21.0;-139.23;1.882;115.37;1716313513.85;2;3.0
23.0;-48.99;1.883;102.39;1716313548.61;2;3.0
23.0;61.71;1.884;61.71;1716313562.51;2;1.0
22.0;28.22;1.883;128.3;1716313581.32;2;1.35
21.0;237.71;1.883;350.64;1716313636.81;2;3.0
22.0;300.26;1.884;362.25;1716313660.91;2;2.11
22.0;64.47;1.884;64.47;1716313675.95;2;1.02
21.0;-8.05;1.883;145.27;1716313707.68;2;3.0
23.0;-42.61;1.884;151.12;1716313735.85;2;2.88
24.0;67.62;1.885;81.24;1716313753.91;2;1.3
22.0;-301.55;1.884;248.3;1716313804.35;2;3.0
22.0;-60.56;1.885;44.94;1716313841.69;2;3.0
24.0;23.21;1.886;97.56;1716313867.54;2;2.4
23.0;54.64;1.886;156.27;1716313904.35;2;3.0
23.0;-215.68;1.887;252.06;1716313957.3;2;3.0
23.0;590.41;1.887;608.33;1716313971.76;2;1.02
24.0;-44.86;1.887;76.51;1716314021.22;2;3.0
21.0;44.61;1.887;168.1;1716314040.75;2;1.5
22.0;-48.3;1.887;62.27;1716314083.09;2;3.0
21.0;111.1;1.888;111.1;1716314097.52;2;1.0
25.0;-150.63;1.887;180.27;1716314130.82;2;3.0
24.0;24.27;1.888;80.54;1716314151.93;2;1.65
23.0;79.49;1.888;86.21;1716314167.4;2;1.09
22.0;252.76;1.887;258.28;1716314185.4;2;1.27
24.0;145.66;1.887;151.03;1716314200.85;2;1.04
24.0;-98.03;1.886;126.07;1716314240.23;2;3.0
23.0;51.18;1.887;67.85;1716314257.76;2;1.27
25.0;57.22;1.887;111.65;1716314281.96;2;2.07
22.0;343.33;1.887;556.77;1716314300.98;2;1.43
22.0;62.55;1.887;278.25;1716314319.45;2;1.36
22.0;27.06;1.886;42.43;1716314335.41;2;1.19
23.0;12.24;1.886;147.72;1716314356.47;2;1.64
22.0;266.73;1.886;266.73;1716314371.4;2;1.01
22.0;241.66;1.885;242.51;1716314387.36;2;1.07
23.0;-80.84;1.885;182.96;1716314410.99;2;2.09
22.0;56.25;1.885;56.25;1716314425.93;2;1.06
23.0;70.02;1.884;76.75;1716314442.13;2;1.14
24.0;-199.82;1.884;214.15;1716314479.48;2;3.0
22.0;28.61;1.884;74.44;1716314504.61;2;2.39
21.0;117.87;1.885;117.87;1716314518.5;2;1.0
22.0;-110.13;1.884;149.77;1716314559.87;2;3.0
22.0;-126.25;1.885;99.53;1716314593.61;2;3.0
25.0;35.05;1.886;121.5;1716314617.73;2;2.06
24.0;60.02;1.886;60.02;1716314632.84;2;1.0
23.0;-35.88;1.885;305.27;1716314661.01;2;2.92
24.0;-37.82;1.886;391.82;1716314705.45;2;3.0
24.0;17.84;1.886;164.84;1716314730.11;2;2.3
22.0;108.57;1.887;215.94;1716314770.98;2;3.0
25.0;35.53;1.887;57.6;1716314791.58;2;1.62
22.0;123.28;1.887;125.56;1716314807.38;2;1.03
24.0;-35.91;1.887;62.72;1716314840.34;2;3.0
22.0;45.55;1.887;45.55;1716314855.26;2;1.05
22.0;38.02;1.887;78.92;1716314875.28;2;1.59
24.0;44.65;1.887;55.19;1716314892.82;2;1.32
24.0;184.25;1.886;184.25;1716314907.28;2;1.0
23.0;-255.95;1.886;342.7;1716314958.24;2;3.0
25.0;-162.89;1.886;151.97;1716314995.89;2;3.0
24.0;171.44;1.887;175.8;1716315010.84;2;1.03
23.0;471.31;1.887;477.98;1716315030.36;2;1.47
22.0;-77.11;1.886;69.88;1716315069.18;2;3.0
21.0;-374.52;1.887;129.32;1716315114.08;2;3.0
21.0;-139.8;1.888;69.31;1716315156.45;2;3.0
21.0;-16.36;1.888;86.86;1716315180.03;2;2.11
22.0;54.88;1.889;62.46;1716315202.04;2;1.81
25.0;457.66;1.888;457.66;1716315217.18;2;1.04
17.0;55.11;1.888;55.11;1716315232.05;2;1.07
21.0;56.31;1.887;58.22;1716315246.96;2;1.03
24.0;60.57;1.887;72.05;1716315263.97;2;1.22
24.0;-184.95;1.887;367.31;1716315305.41;2;3.0
20.0;121.16;1.887;138.26;1716315322.88;2;1.29
21.0;-228.87;1.887;121.15;1716315381.39;2;3.0
21.0;61.98;1.888;67.27;1716315398.87;2;1.32
24.0;0.73;1.887;65.13;1716315429.1;2;3.0
22.0;377.01;1.888;378.26;1716315444.54;2;1.09
22.0;10.11;1.887;117.53;1716315469.65;2;2.26
25.0;225.06;1.888;225.06;1716315485.63;2;1.08
24.0;278.18;1.887;329.66;1716315506.87;2;1.62
23.0;48.05;1.887;49.47;1716315522.34;2;1.09
25.0;125.2;1.886;137.89;1716315540.37;2;1.26
22.0;274.17;1.886;486.57;1716315567.52;2;2.81
24.0;56.68;1.887;79.89;1716315594.16;2;2.51
22.0;99.7;1.887;102.46;1716315609.12;2;1.05
21.0;246.26;1.887;246.26;1716315623.55;2;1.0
23.0;342.66;1.886;344.59;1716315639.01;2;1.06
19.0;-56.59;1.886;65.79;1716315670.22;2;3.0
24.0;-149.11;1.886;294.55;1716315725.28;2;3.0
24.0;133.93;1.887;168.94;1716315742.8;2;1.31
22.0;-204.53;1.887;227.44;1716315774.02;2;3.0
22.0;13.97;1.887;81.6;1716315793.64;2;1.5
22.0;51.48;1.887;139.62;1716315809.09;2;1.05
21.0;46.53;1.887;137.9;1716315828.62;2;1.5
24.0;-81.08;1.886;99.6;1716315861.87;2;3.0
22.0;-898.54;1.887;666.1;1716315899.86;2;3.0
21.0;182.34;1.888;559.4;1716315916.85;2;1.32
23.0;-22.21;1.887;67.81;1716315941.01;2;2.12
21.0;40.91;1.887;69.93;1716315958.97;2;1.33
21.0;332.05;1.887;332.05;1716315973.89;2;1.02
22.0;431.92;1.887;431.92;1716315988.35;2;1.01
21.0;66.09;1.886;78.06;1716316010.93;2;1.78
21.0;77.15;1.886;96.81;1716316029.42;2;1.38
23.0;88.67;1.886;88.67;1716316044.39;2;1.0
24.0;109.14;1.885;109.14;1716316059.31;2;1.0
21.0;27.29;1.885;52.31;1716316083.28;2;1.95
23.0;53.1;1.885;90.21;1716316105.86;2;1.96
24.0;64.63;1.885;77.17;1716316121.35;2;1.09
24.0;-175.64;1.884;244.94;1716316194.09;2;3.0
22.0;159.44;1.885;159.44;1716316208.49;2;1.0
21.0;105.46;1.884;143.48;1716316231.55;2;1.9
23.0;94.71;1.884;94.71;1716316247.49;2;1.07
21.0;33.38;1.884;33.38;1716316261.91;2;1.02
21.0;20.3;1.883;97.42;1716316278.9;2;1.22
23.0;7.1;1.883;74.4;1716316298.44;2;1.5
23.0;-197.63;1.883;136.11;1716316333.74;2;3.0
25.0;476.93;1.883;476.93;1716316349.2;2;1.06
20.0;81.31;1.883;86.7;1716316368.65;2;1.49
24.0;38.0;1.883;68.77;1716316389.2;2;1.56
22.0;80.55;1.883;81.13;1716316403.64;2;1.02
21.0;46.51;1.882;56.71;1716316423.67;2;1.49
24.0;288.3;1.882;311.81;1716316439.65;2;1.08
25.0;37.16;1.881;77.9;1716316460.58;2;1.55
23.0;-200.39;1.881;239.81;1716316498.95;2;3.0
23.0;-16.23;1.882;142.91;1716316526.1;2;2.7
20.0;2.22;1.882;51.3;1716316552.73;2;2.63
24.0;-127.68;1.883;64.46;1716316589.07;2;3.0
22.0;260.95;1.883;260.95;1716316603.52;2;1.01
22.0;289.83;1.883;302.89;1716316623.06;2;1.44
21.0;-61.39;1.883;71.99;1716316657.31;2;3.0
23.0;70.76;1.883;101.82;1716316676.76;2;1.36
22.0;-132.69;1.883;194.4;1716316702.94;2;2.63
20.0;32.61;1.883;37.58;1716316719.91;2;1.21
25.0;-68.02;1.883;91.69;1716316755.25;2;3.0
26.0;326.85;1.884;492.32;1716316783.17;2;2.9
24.0;234.57;1.884;235.24;1716316798.13;2;1.05
24.0;76.89;1.884;94.88;1716316815.2;2;1.24
25.0;155.26;1.883;155.26;1716316830.13;2;1.04
25.0;252.62;1.883;252.62;1716316844.57;2;1.0
21.0;83.71;1.882;131.72;1716316860.47;2;1.08
21.0;42.68;1.882;42.68;1716316876.62;2;1.06
22.0;7.34;1.882;77.0;1716316898.71;2;1.89
22.0;-28.04;1.882;84.86;1716316936.06;2;3.0
24.0;-111.37;1.882;101.63;1716316977.97;2;3.0
22.0;239.74;1.883;239.74;1716316992.78;2;1.0
23.0;50.05;1.882;50.05;1716317007.73;2;1.0
22.0;-37.89;1.882;159.09;1716317035.4;2;2.78
22.0;-73.05;1.882;42.75;1716317075.76;2;3.0
21.0;53.26;1.883;53.26;1716317090.65;2;1.0
21.0;69.76;1.882;108.84;1716317106.07;2;1.05
23.0;189.13;1.882;196.84;1716317123.59;2;1.3
24.0;199.35;1.882;200.26;1716317139.05;2;1.06
23.0;118.13;1.881;118.86;1716317154.52;2;1.09
25.0;10.74;1.881;204.63;1716317179.28;2;2.17
22.0;79.46;1.881;91.29;1716317196.82;2;1.28
24.0;145.2;1.881;160.11;1716317214.84;2;1.32
24.0;-68.97;1.88;53.49;1716317257.76;2;3.0
21.0;-143.26;1.881;77.64;1716317315.5;2;3.0
25.0;-43.9;1.882;76.75;1716317348.32;2;3.0
21.0;41.3;1.882;51.57;1716317363.75;2;1.1
24.0;385.71;1.882;385.71;1716317378.68;2;1.0
25.0;-94.87;1.881;94.98;1716317414.63;2;3.0
22.0;-25.02;1.882;65.02;1716317444.87;2;3.0
22.0;43.13;1.883;62.11;1716317465.41;2;1.62
23.0;-157.92;1.882;172.51;1716317503.8;2;3.0
23.0;8.76;1.883;43.13;1716317531.69;2;2.81
21.0;82.04;1.884;82.04;1716317546.62;2;1.0
21.0;447.87;1.883;447.87;1716317561.54;2;1.0
21.0;157.16;1.883;174.6;1716317578.02;2;1.14
25.0;302.87;1.882;321.86;1716317592.97;2;1.02
23.0;-35.18;1.882;89.14;1716317646.89;2;3.0
25.0;-160.86;1.882;144.2;1716317686.3;2;3.0
25.0;201.82;1.883;239.92;1716317706.92;2;1.64
24.0;60.9;1.883;60.9;1716317721.33;2;1.0
23.0;27.55;1.882;59.08;1716317741.93;2;1.52
22.0;46.64;1.882;129.15;1716317765.84;2;2.06
21.0;-19.83;1.882;93.56;1716317790.42;2;2.22
23.0;69.3;1.882;80.76;1716317811.95;2;1.67
25.0;25.97;1.882;62.51;1716317833.05;2;1.68
22.0;-39.91;1.882;49.89;1716317862.32;2;3.0
24.0;163.36;1.883;163.36;1716317876.27;2;1.0
25.0;-87.89;1.882;93.93;1716317907.08;2;3.0
23.0;195.72;1.883;201.5;1716317922.06;2;1.06
22.0;40.94;1.882;52.04;1716317939.06;2;1.25
22.0;31.45;1.882;60.95;1716317959.65;2;1.61
22.0;-42.99;1.882;69.68;1716318006.62;2;3.0
24.0;3.82;1.883;149.19;1716318032.28;2;2.55
24.0;60.04;1.883;61.72;1716318046.75;2;1.03
22.0;-7.91;1.882;89.61;1716318068.84;2;1.8
22.0;28.01;1.882;80.25;1716318090.42;2;1.74
21.0;37.36;1.882;39.14;1716318106.34;2;1.08
25.0;-157.51;1.882;493.19;1716318130.48;2;2.01
20.0;21.19;1.882;33.44;1716318152.52;2;1.92
22.0;101.32;1.882;143.81;1716318179.87;2;2.61
25.0;159.27;1.882;160.92;1716318194.84;2;1.03
22.0;36.41;1.882;52.35;1716318212.33;2;1.25
24.0;142.3;1.881;142.3;1716318226.28;2;1.0
22.0;286.45;1.881;320.67;1716318255.49;2;2.99
25.0;130.35;1.882;131.31;1716318269.98;2;1.06
24.0;47.69;1.881;116.4;1716318288.99;2;1.41
26.0;234.12;1.881;273.59;1716318305.52;2;1.16
22.0;-106.57;1.88;150.39;1716318333.21;2;3.0
22.0;107.86;1.881;107.86;1716318347.63;2;1.02
24.0;-100.94;1.881;171.02;1716318389.77;2;3.0
24.0;-116.95;1.881;82.34;1716318435.22;2;3.0
19.0;14.35;1.882;34.86;1716318452.7;2;1.29
21.0;5.62;1.882;30.35;1716318476.28;2;1.99
23.0;3.18;1.882;110.15;1716318497.38;2;1.76
23.0;43.07;1.882;45.17;1716318512.83;2;1.03
22.0;-87.35;1.881;170.77;1716318535.95;2;1.94
25.0;-21.72;1.881;56.04;1716318565.7;2;3.0
23.0;-101.32;1.882;181.42;1716318599.47;2;3.0
23.0;2.01;1.882;71.74;1716318627.47;2;2.7
24.0;20.29;1.883;197.36;1716318651.71;2;2.26
25.0;123.24;1.883;123.24;1716318666.7;2;1.01
22.0;31.17;1.882;417.76;1716318685.75;2;1.43
22.0;-0.65;1.882;112.58;1716318717.39;2;3.0
23.0;210.5;1.883;217.88;1716318732.82;2;1.13
22.0;-213.31;1.882;235.62;1716318802.5;2;3.0
22.0;10.83;1.883;32.77;1716318823.07;2;1.7
22.0;29.34;1.883;70.07;1716318846.86;2;2.05
23.0;63.47;1.883;63.47;1716318861.32;2;1.0
22.0;26.32;1.882;44.98;1716318882.41;2;1.58
21.0;271.77;1.882;271.77;1716318896.84;2;1.05
25.0;61.56;1.882;74.09;1716318912.82;2;1.1
25.0;213.78;1.881;284.42;1716318937.5;2;2.21
25.0;156.58;1.882;344.91;1716318956.08;2;1.34
23.0;17.41;1.881;46.18;1716318977.18;2;1.7
24.0;90.91;1.881;103.07;1716318995.82;2;1.41
21.0;-72.9;1.881;214.73;1716319056.48;2;3.0
24.0;27.26;1.882;127.28;1716319084.22;2;2.91
23.0;-42.29;1.882;54.67;1716319114.05;2;3.0
26.0;164.73;1.883;164.73;1716319128.59;2;1.0
24.0;24.49;1.882;169.58;1716319148.16;2;1.47
21.0;266.09;1.882;277.87;1716319166.64;2;1.4
23.0;-31.73;1.882;49.75;1716319221.68;2;3.0
26.0;-85.29;1.882;252.79;1716319248.27;2;2.5
24.0;18.55;1.883;80.05;1716319273.44;2;2.34
25.0;54.38;1.883;673.37;1716319293.52;2;1.6
21.0;-47.99;1.883;63.43;1716319328.37;2;3.0
24.0;52.21;1.883;141.11;1716319353.59;2;2.26
25.0;83.56;1.884;83.56;1716319369.06;2;1.03
21.0;240.32;1.883;240.32;1716319383.46;2;1.0
21.0;39.38;1.883;82.53;1716319402.95;2;1.44
21.0;56.75;1.882;57.36;1716319417.86;2;1.04
21.0;23.13;1.882;98.96;1716319441.44;2;2.04
23.0;73.35;1.882;73.35;1716319455.48;2;1.0
25.0;-132.17;1.882;286.08;1716505334.44;5;3.0
24.0;469.75;1.882;469.75;1716505348.88;5;1.05
17.0;-17.81;1.882;64.98;1716505372.44;5;2.06
19.0;26.9;1.882;42.68;1716505392.97;5;1.59
