amount_of_players;round_result;MO;bank;real_x
17;237.26;1.877;237.26;1.04
21;190.41;1.877;259.07;1.93
23;213.71;1.876;227.88;1.08
17;-1.06;1.876;80.49;2.16
25;341.85;1.875;341.85;1.0
24;137.24;1.874;244.81;1.06
16;38.09;1.873;43.63;1.28
24;314.32;1.872;314.32;1.04
22;-77.73;1.874;93.5;3.0
24;43.97;1.873;105.59;1.53
21;-158.93;1.875;138.29;3.0
21;409.75;1.873;414.79;1.02
19;87.46;1.873;94.94;1.51
22;132.38;1.872;133.22;1.06
25;-55.51;1.873;94.82;3.0
19;30.58;1.873;59.94;1.48
21;250.26;1.872;250.26;1.0
20;-3.65;1.873;41.88;2.88
25;234.03;1.873;496.59;1.63
22;48.68;1.872;61.58;1.18
20;143.86;1.871;143.86;1.08
18;27.05;1.871;86.88;1.83
22;-80.57;1.872;106.95;3.0
23;198.06;1.871;198.06;1.0
20;-54.42;1.873;62.24;3.0
23;95.54;1.871;95.54;1.0
24;126.16;1.871;434.72;1.3
22;195.37;1.87;195.37;1.02
21;3.75;1.87;41.6;1.95
21;35.51;1.869;51.89;1.25
18;109.55;1.868;119.14;1.11
24;37.0;1.867;308.3;1.52
22;-310.47;1.869;383.21;2.84
17;-69.08;1.87;110.15;3.0
23;52.99;1.869;60.92;1.17
20;-160.63;1.871;201.14;3.0
20;223.61;1.87;223.61;1.02
22;13.95;1.871;89.98;3.0
23;53.19;1.871;107.11;2.07
22;179.12;1.871;182.97;1.26
23;-51.22;1.872;75.18;3.0
16;213.26;1.871;219.25;1.08
24;217.99;1.871;276.29;1.65
17;11.92;1.871;27.4;1.79
24;123.97;1.87;123.97;1.06
16;-12.77;1.871;41.09;2.95
20;150.39;1.87;150.39;1.03
25;-53.75;1.871;64.12;3.0
22;61.66;1.87;62.23;1.04
20;66.48;1.87;76.46;1.44
24;59.27;1.87;350.5;1.92
24;-359.72;1.871;238.21;3.0
22;-151.76;1.872;158.74;3.0
16;32.47;1.872;37.17;1.48
21;243.05;1.871;243.05;1.0
25;-33.41;1.871;109.35;2.11
24;-54.49;1.873;148.74;3.0
20;35.03;1.872;69.0;1.19
23;-46.99;1.873;45.08;3.0
16;-33.12;1.874;66.46;3.0
23;-79.09;1.876;66.44;3.0
17;72.17;1.876;106.51;1.84
17;58.09;1.875;58.68;1.03
16;12.67;1.874;37.28;1.37
20;49.55;1.873;49.55;1.0
21;153.93;1.872;153.93;1.03
22;59.46;1.872;126.24;1.56
19;63.18;1.871;63.18;1.0
23;53.98;1.87;56.98;1.03
23;-51.26;1.871;63.16;3.0
19;27.2;1.87;309.85;1.14
22;168.89;1.87;289.66;1.86
21;202.04;1.869;212.21;1.23
17;38.32;1.869;50.88;1.21
17;-31.09;1.87;92.44;3.0
20;60.55;1.869;69.61;1.27
22;253.97;1.868;253.97;1.01
18;34.28;1.867;39.16;1.08
21;577.97;1.866;577.97;1.0
22;37.56;1.865;39.9;1.08
18;153.79;1.864;176.1;1.09
18;30.22;1.864;64.71;1.23
23;-17.86;1.863;303.03;1.55
22;428.07;1.863;431.21;1.33
23;-65.55;1.864;87.14;3.0
24;178.86;1.863;178.86;1.03
23;129.89;1.862;131.6;1.07
19;62.56;1.861;62.56;1.04
19;-48.5;1.862;53.27;3.0
24;-56.9;1.864;66.19;3.0
17;255.54;1.863;261.41;1.06
24;76.75;1.862;86.44;1.04
20;0.51;1.862;35.44;1.99
19;132.7;1.861;138.62;1.02
26;-120.48;1.861;342.19;1.96
24;25.39;1.861;101.18;1.97
19;-3.38;1.862;91.47;1.99
24;237.33;1.861;310.04;1.27
23;36.77;1.861;110.91;2.25
24;-39.56;1.862;159.15;2.54
23;-6.15;1.862;84.13;2.2
17;55.98;1.862;55.98;1.05
20;37.42;1.861;56.39;1.4
22;493.16;1.86;495.06;1.23
17;-76.1;1.862;57.89;3.0
22;121.51;1.861;165.63;1.1
22;-267.22;1.862;237.48;3.0
17;98.95;1.861;98.95;1.03
19;114.03;1.861;123.07;1.52
18;40.69;1.86;40.69;1.0
16;-102.1;1.861;103.48;3.0
20;14.98;1.861;62.65;1.95
25;482.63;1.86;587.48;1.05
20;58.86;1.859;63.33;1.12
18;205.85;1.858;205.85;1.01
16;-301.75;1.86;177.39;3.0
25;82.3;1.859;82.3;1.0
17;88.3;1.858;88.3;1.01
19;46.71;1.857;57.02;1.1
17;-137.61;1.856;382.23;1.6
19;242.55;1.856;245.31;1.31
23;118.64;1.855;118.64;1.0
24;-42.94;1.855;128.47;2.19
16;-153.43;1.857;231.36;3.0
23;52.27;1.856;84.66;1.17
22;45.6;1.855;68.49;1.12
20;57.2;1.854;79.57;1.12
17;59.18;1.853;59.18;1.04
18;45.98;1.853;68.58;1.44
18;-5.14;1.852;79.39;1.59
17;40.0;1.851;40.0;1.0
24;70.25;1.851;70.25;1.0
24;91.23;1.85;91.23;1.05
19;71.23;1.85;322.32;2.54
19;-50.97;1.852;101.93;3.0
22;-47.13;1.852;291.64;2.14
20;313.26;1.852;335.63;1.99
19;167.57;1.851;173.55;1.03
16;16.13;1.852;90.14;2.32
20;28.74;1.852;83.24;2.41
19;30.11;1.852;31.96;1.4
20;31.51;1.851;46.99;1.33
22;-809.43;1.852;263.85;3.0
24;95.36;1.852;95.36;1.01
16;81.32;1.851;83.3;1.27
20;134.48;1.85;134.48;1.0
21;120.76;1.85;136.78;1.59
21;37.24;1.849;66.16;1.16
22;-130.81;1.85;217.3;3.0
19;1.68;1.851;69.24;2.84
20;-55.75;1.853;82.84;3.0
20;190.25;1.852;192.02;1.14
21;381.62;1.852;411.68;1.74
18;94.61;1.851;94.61;1.0
21;26.59;1.85;48.78;1.54
23;-88.63;1.852;183.63;3.0
24;131.38;1.851;135.61;1.21
20;-248.01;1.852;885.63;2.61
19;104.8;1.851;104.8;1.07
23;88.76;1.85;88.76;1.02
22;-41.25;1.851;120.85;3.0
22;5.15;1.852;56.92;3.0
16;7.89;1.852;42.59;1.92
16;23.65;1.852;40.19;1.64
21;165.62;1.852;211.46;1.72
18;45.25;1.851;45.25;1.01
18;-338.24;1.852;112.65;3.0
23;298.15;1.851;308.47;1.06
23;234.55;1.851;310.4;1.6
18;36.89;1.851;52.46;2.03
21;37.71;1.851;43.76;1.19
17;-46.92;1.852;111.87;2.69
19;224.92;1.852;283.16;2.35
19;-291.91;1.853;420.67;2.79
22;419.95;1.852;419.95;1.0
23;-69.62;1.853;85.81;3.0
25;-70.98;1.855;101.98;3.0
25;-128.14;1.856;163.33;3.0
23;-92.96;1.857;111.47;3.0
23;72.73;1.856;82.62;1.23
17;61.01;1.855;61.01;1.04
25;93.69;1.855;93.69;1.0
20;18.17;1.854;38.42;1.65
16;28.63;1.854;30.49;1.24
19;-36.42;1.853;274.6;1.63
20;216.35;1.853;242.26;1.23
18;69.48;1.853;122.69;1.74
17;39.57;1.852;39.57;1.03
17;-58.92;1.853;226.72;3.0
23;82.36;1.852;136.84;1.07
23;41.47;1.851;73.04;1.22
20;-54.83;1.851;191.4;1.56
21;97.58;1.851;146.8;1.35
22;62.83;1.85;262.9;1.39
16;54.94;1.849;56.68;1.08
22;28.59;1.849;48.12;1.1
22;84.37;1.848;90.07;1.46
24;31.41;1.848;91.38;1.46
22;-14.99;1.849;91.65;2.71
23;-21.52;1.85;166.67;3.0
21;75.09;1.849;84.03;1.23
18;-83.44;1.851;45.68;3.0
21;85.13;1.85;98.12;1.12
20;46.98;1.849;48.65;1.09
17;-24.67;1.85;52.41;3.0
23;73.61;1.849;74.46;1.04
25;88.65;1.849;109.46;1.55
22;121.89;1.848;121.89;1.0
19;45.69;1.848;57.32;1.22
22;27.21;1.848;146.04;2.21
26;32.03;1.847;120.22;1.34
16;100.14;1.846;100.14;1.0
24;35.46;1.846;42.9;1.53
18;-52.36;1.847;69.61;3.0
18;149.5;1.847;154.78;1.09
20;72.74;1.846;72.74;1.05
23;174.37;1.845;175.62;1.04
19;37.08;1.844;42.02;1.23
22;35.31;1.844;61.15;1.87
19;-3.6;1.845;36.99;2.24
20;-13.47;1.846;108.54;2.89
20;55.34;1.845;101.08;1.55
21;126.65;1.845;127.3;1.03
18;23.95;1.844;71.78;1.6
18;-100.59;1.846;60.1;3.0
23;52.85;1.845;62.49;1.12
21;87.63;1.844;87.63;1.0
25;194.32;1.843;194.32;1.01
19;194.11;1.844;222.56;2.4
27;156.4;1.843;160.4;1.04
19;30.2;1.844;200.69;2.65
18;72.7;1.843;73.4;1.1
25;-98.86;1.844;146.2;3.0
21;182.4;1.843;183.33;1.05
19;172.62;1.843;418.23;1.98
23;671.1;1.843;671.1;1.08
22;39.39;1.842;49.62;1.1
22;79.19;1.841;79.19;1.0
19;61.02;1.84;61.02;1.0
24;170.95;1.84;325.24;1.26
20;-33.57;1.841;62.87;3.0
22;3.83;1.842;44.99;2.49
16;21.19;1.842;40.11;1.87
23;21.54;1.841;85.83;1.72
19;-124.31;1.843;82.4;3.0
21;-288.9;1.844;344.43;3.0
22;126.55;1.843;126.55;1.05
16;86.59;1.843;95.94;1.59
20;156.25;1.842;182.22;1.17
22;-20.36;1.842;342.76;1.57
22;47.69;1.841;47.69;1.07
16;89.65;1.841;89.65;1.17
16;-199.46;1.842;84.67;3.0
19;-54.87;1.843;62.92;3.0
20;5.34;1.843;54.4;1.87
17;17.27;1.843;23.73;1.97
18;51.22;1.842;51.22;1.03
23;50.25;1.842;92.76;1.98
21;-31.54;1.843;80.24;3.0
24;-68.9;1.845;59.87;3.0
21;63.06;1.844;72.15;1.48
23;64.15;1.843;64.15;1.0
20;-46.88;1.844;165.74;2.31
23;-39.16;1.845;52.33;3.0
20;-634.13;1.846;328.63;3.0
21;43.68;1.845;43.68;1.0
21;-213.3;1.846;129.86;3.0
19;-24.73;1.848;106.01;3.0
20;118.59;1.847;118.59;1.0
23;-114.74;1.848;109.75;3.0
20;148.2;1.847;148.2;1.0
24;94.37;1.847;99.5;1.36
25;-392.16;1.848;364.84;3.0
19;-7.08;1.849;59.54;2.99
23;-6.98;1.85;60.82;3.0
17;-67.61;1.851;248.11;3.0
17;-70.64;1.852;129.91;3.0
21;-18.04;1.852;565.76;1.79
18;143.3;1.851;143.3;1.0
23;70.0;1.85;70.0;1.0
16;54.71;1.85;54.71;1.05
19;51.26;1.849;65.37;1.28
23;-46.64;1.85;126.02;3.0
19;93.7;1.849;93.7;1.04
26;-459.42;1.851;646.43;3.0
21;447.42;1.85;447.42;1.02
17;-192.63;1.851;69.93;3.0
22;67.58;1.85;191.38;1.11
19;-43.59;1.851;160.5;3.0
21;-42.26;1.852;106.37;3.0
28;85.26;1.852;146.75;1.8
21;15.4;1.853;55.37;3.0
24;47.2;1.853;61.23;1.23
23;67.57;1.852;67.57;1.07
24;10.05;1.852;73.16;2.28
23;76.36;1.852;76.36;1.04
21;139.18;1.852;772.91;2.55
22;156.35;1.851;160.17;1.04
19;33.12;1.852;115.06;2.93
20;1.5;1.852;47.48;1.63
20;-268.95;1.853;165.03;3.0
18;-38.66;1.854;51.36;3.0
18;26.45;1.854;89.78;2.05
26;104.57;1.854;109.04;1.03
20;-768.25;1.855;515.95;3.0
18;-78.57;1.856;129.45;3.0
21;162.41;1.855;267.22;1.27
21;41.5;1.855;63.08;1.84
21;-39.91;1.856;125.51;2.55
18;41.71;1.855;49.76;1.24
19;100.42;1.855;137.43;1.66
19;53.92;1.854;53.92;1.0
25;-205.77;1.855;445.37;3.0
23;213.29;1.855;213.29;1.0
18;137.22;1.854;159.3;1.1
17;86.29;1.854;122.76;1.64
23;48.36;1.853;49.23;1.03
22;42.84;1.852;42.84;1.0
18;64.09;1.851;66.61;1.18
20;43.8;1.851;68.69;1.29
18;44.63;1.85;68.34;1.21
20;72.46;1.85;93.96;1.04
24;-698.13;1.851;464.38;3.0
22;13.75;1.85;74.75;1.42
21;23.59;1.85;53.17;1.62
19;-88.59;1.851;93.07;3.0
16;66.44;1.85;66.44;1.0
17;50.12;1.851;86.48;2.98
17;-64.0;1.852;55.24;3.0
18;-34.14;1.853;53.44;3.0
20;-131.23;1.854;89.07;3.0
20;58.83;1.854;58.83;1.0
26;60.92;1.854;345.37;1.81
19;80.95;1.853;80.95;1.07
25;-2.17;1.853;139.74;1.64
25;-6.46;1.854;146.65;3.0
18;81.06;1.853;112.46;1.4
21;-77.42;1.854;114.45;3.0
24;134.54;1.854;148.31;1.81
19;-51.63;1.855;46.42;3.0
22;88.61;1.855;93.91;1.26
18;91.16;1.854;91.16;1.0
21;-75.36;1.855;64.99;3.0
16;-13.61;1.856;113.61;3.0
23;-142.84;1.857;223.13;2.56
21;-9.59;1.858;49.06;3.0
22;133.65;1.857;139.54;1.06
16;37.31;1.856;37.31;1.0
21;113.4;1.856;213.69;1.57
26;532.28;1.855;532.28;1.0
24;75.48;1.855;75.48;1.0
20;22.5;1.854;92.94;1.14
20;-29.54;1.855;64.72;3.0
23;36.98;1.855;67.82;2.11
22;-115.93;1.856;70.12;3.0
18;-160.12;1.857;90.86;3.0
18;90.54;1.856;91.57;1.07
22;150.31;1.856;150.31;1.0
21;265.5;1.855;265.5;1.05
20;-47.61;1.856;37.53;3.0
22;121.67;1.855;122.51;1.05
24;-134.22;1.855;447.44;1.51
23;-50.51;1.856;67.76;3.0
25;62.39;1.855;65.24;1.06
24;82.1;1.855;252.49;1.05
24;63.53;1.854;63.53;1.0
23;-61.37;1.855;60.45;3.0
25;-221.86;1.856;269.9;3.0
22;-246.09;1.857;112.18;3.0
23;23.91;1.857;63.75;1.59
20;273.89;1.856;273.89;1.03
23;-31.5;1.857;146.34;3.0
17;5.6;1.857;51.8;1.66
17;226.17;1.856;226.17;1.0
24;461.3;1.856;463.5;1.07
22;29.33;1.856;102.18;2.19
21;246.07;1.855;246.95;1.04
17;26.41;1.856;68.53;2.45
25;281.99;1.855;291.64;1.04
21;60.14;1.854;60.14;1.04
21;319.79;1.855;405.16;2.58
17;60.23;1.854;413.58;1.25
17;33.66;1.854;33.66;1.06
23;145.67;1.853;145.67;1.02
22;59.21;1.852;59.21;1.0
21;249.62;1.852;265.69;1.92
22;57.31;1.852;71.21;1.16
22;-329.1;1.853;416.32;3.0
17;-58.76;1.854;70.88;3.0
21;34.73;1.853;78.03;1.3
18;141.93;1.852;141.93;1.03
18;-17.29;1.853;219.02;2.54
23;86.63;1.852;86.63;1.0
22;-4.38;1.853;38.68;3.0
24;96.21;1.853;109.45;1.34
18;52.02;1.852;95.66;1.28
17;100.54;1.852;123.32;1.14
20;-545.5;1.853;189.97;3.0
23;41.6;1.852;164.15;1.44
24;78.38;1.851;78.38;1.01
21;370.93;1.851;375.46;1.06
16;8.48;1.851;55.17;1.6
19;37.67;1.85;61.01;1.51
21;319.38;1.851;434.85;2.76
23;-11.16;1.852;46.76;2.53
18;174.82;1.851;178.73;1.41
16;65.32;1.851;67.44;1.08
21;119.22;1.85;119.22;1.02
23;83.15;1.849;83.15;1.0
25;-51.83;1.85;67.81;3.0
24;39.76;1.85;116.34;2.03
21;-1384.89;1.851;767.93;3.0
24;-60.54;1.851;211.49;1.89
24;73.7;1.851;376.5;1.05
25;7.05;1.851;77.65;2.38
21;-27.09;1.852;58.45;3.0
23;52.62;1.852;72.43;1.28
23;88.76;1.851;125.24;1.31
24;578.61;1.85;578.61;1.01
22;47.11;1.85;58.05;1.07
24;-157.14;1.851;366.68;3.0
23;54.38;1.85;61.17;1.02
22;-57.24;1.851;87.99;3.0
19;175.77;1.85;175.77;1.0
17;52.91;1.85;54.67;1.19
23;-80.2;1.851;145.0;3.0
24;-45.87;1.852;166.11;3.0
18;17.21;1.852;58.8;1.68
21;-19.78;1.853;46.96;2.97
20;55.5;1.852;55.5;1.0
19;-26.57;1.853;97.09;3.0
24;-52.41;1.853;95.4;2.55
18;99.8;1.853;99.8;1.0
19;91.98;1.852;95.2;1.09
21;153.04;1.851;153.04;1.0
17;-18.18;1.852;45.19;2.76
18;-33.21;1.853;105.71;2.92
20;-11.85;1.853;82.44;2.5
18;12.61;1.854;97.83;2.17
22;-154.89;1.855;157.37;3.0
16;58.63;1.854;61.96;1.14
16;-11.75;1.854;145.01;1.88
19;86.43;1.853;89.46;1.15
23;15.63;1.854;60.41;2.0
18;79.09;1.853;79.09;1.02
22;43.46;1.852;92.82;1.03
18;-223.31;1.853;62.82;3.0
19;25.9;1.853;59.11;1.83
21;319.41;1.854;551.14;2.41
20;69.08;1.854;83.82;1.89
18;50.71;1.853;80.38;1.21
21;43.26;1.853;73.1;1.38
18;18.64;1.853;55.51;2.41
19;149.02;1.852;149.02;1.0
23;-170.79;1.853;349.77;3.0
24;-35.42;1.854;60.03;3.0
17;-15.51;1.855;44.19;2.74
20;-188.49;1.856;121.49;3.0
24;74.9;1.855;74.9;1.04
16;14.66;1.855;33.37;1.2
23;84.74;1.854;230.04;1.38
20;-58.73;1.855;182.26;2.27
19;18.71;1.854;42.25;1.15
24;77.67;1.853;84.38;1.09
23;255.71;1.853;258.4;1.07
19;38.37;1.853;68.6;1.5
20;38.8;1.852;71.1;1.1
17;70.36;1.851;70.36;1.0
17;69.15;1.851;76.84;1.03
17;-17.17;1.851;90.96;2.63
22;77.82;1.851;104.56;1.19
17;15.04;1.851;56.53;1.95
22;297.97;1.85;323.56;1.19
21;62.1;1.85;63.09;1.11
22;-73.15;1.851;63.81;3.0
16;4.29;1.85;16.76;1.7
22;375.96;1.85;377.47;1.11
21;45.38;1.849;45.38;1.02
23;36.39;1.849;38.38;1.09
27;116.01;1.848;116.01;1.0
22;140.17;1.847;164.16;1.25
25;-14.17;1.848;90.85;3.0
25;88.28;1.849;192.52;2.7
23;-111.53;1.85;84.34;3.0
24;145.96;1.849;145.96;1.0
25;88.88;1.849;99.47;1.06
25;221.08;1.849;595.64;2.26
25;67.86;1.849;448.44;1.72
24;181.66;1.848;240.15;1.24
23;72.79;1.848;94.39;1.24
24;-29.02;1.849;159.08;3.0
26;243.58;1.848;243.58;1.01
24;73.04;1.848;144.19;2.06
26;241.77;1.848;350.5;1.18
23;374.58;1.847;558.61;1.29
22;53.08;1.847;112.38;1.82
21;264.42;1.847;264.42;1.02
21;41.3;1.846;128.34;1.65
22;80.78;1.846;80.78;1.0
24;40.89;1.845;65.81;1.32
24;117.37;1.845;119.16;1.02
22;101.99;1.844;110.06;1.04
23;-203.12;1.845;242.55;3.0
24;-242.75;1.845;535.77;1.85
22;48.01;1.844;75.07;1.27
23;96.17;1.844;350.49;1.4
21;199.72;1.843;200.41;1.04
23;197.32;1.843;245.14;1.12
24;79.72;1.842;80.24;1.04
21;-262.69;1.843;453.5;3.0
24;102.3;1.842;102.3;1.0
23;203.95;1.842;208.23;1.04
24;-57.14;1.842;159.01;2.38
21;52.44;1.842;60.21;1.38
21;369.93;1.842;385.27;1.48
23;-12.26;1.843;44.74;3.0
20;-68.94;1.843;214.24;3.0
23;72.09;1.843;118.43;1.78
24;0.26;1.844;122.57;2.8
21;243.96;1.844;244.77;1.03
21;68.73;1.843;81.57;1.27
23;160.29;1.843;776.08;2.08
25;40.15;1.843;139.9;2.12
23;181.95;1.844;299.58;1.86
23;92.43;1.843;92.99;1.03
22;23.41;1.842;122.32;1.2
22;124.45;1.842;124.45;1.0
23;496.82;1.841;496.82;1.08
24;-42.1;1.842;89.79;3.0
24;176.72;1.842;224.66;1.51
23;28.97;1.842;72.69;1.62
23;13.63;1.841;279.11;1.57
23;48.24;1.841;72.76;1.25
24;212.7;1.842;288.66;3.0
25;-223.74;1.843;132.66;3.0
22;115.86;1.842;116.69;1.06
22;-13.78;1.842;62.33;1.99
22;-43.98;1.843;65.61;3.0
25;384.55;1.843;384.55;1.05
22;50.72;1.842;51.72;1.07
25;71.09;1.841;78.7;1.06
22;124.37;1.842;206.58;2.76
21;101.96;1.842;174.67;1.69
22;179.69;1.842;314.9;1.63
23;59.7;1.841;61.32;1.05
25;24.43;1.841;90.86;1.97
21;-229.38;1.842;176.33;3.0
24;71.72;1.842;72.55;1.04
22;35.7;1.841;68.89;1.48
21;-15.39;1.842;47.16;3.0
20;340.5;1.842;340.5;1.0
24;101.88;1.841;106.22;1.34
25;126.49;1.841;139.55;1.87
24;-5.28;1.841;167.72;1.58
26;182.38;1.841;203.41;1.08
24;73.94;1.841;125.38;2.76
22;93.44;1.841;93.44;1.04
24;-40.81;1.842;50.65;3.0
21;-9.46;1.841;237.3;1.76
23;4.03;1.841;96.59;1.55
23;29.57;1.841;77.04;1.24
23;44.86;1.841;80.68;2.19
24;209.01;1.841;211.15;1.17
24;-101.6;1.841;154.22;2.71
22;190.96;1.841;190.96;1.0
21;212.79;1.84;212.79;1.03
23;-18.18;1.841;73.21;3.0
24;25.16;1.841;143.26;2.08
22;8.2;1.842;88.4;3.0
22;-24.14;1.842;190.95;1.95
22;527.77;1.841;528.33;1.03
23;418.46;1.841;454.4;1.3
23;342.2;1.841;370.31;1.57
23;465.17;1.84;465.17;1.02
24;-520.35;1.841;568.18;3.0
23;-151.64;1.842;249.66;3.0
24;251.11;1.841;252.0;1.04
26;-162.6;1.842;284.16;3.0
21;120.55;1.842;125.79;1.44
22;170.35;1.841;170.35;1.03
26;-0.54;1.841;75.63;2.2
23;369.03;1.841;409.18;1.5
22;311.77;1.841;311.77;1.02
24;-105.17;1.841;111.29;3.0
27;-40.74;1.842;108.44;3.0
24;222.74;1.842;224.33;1.09
23;71.55;1.841;73.71;1.05
20;174.46;1.841;185.25;1.35
22;263.37;1.84;269.81;1.14
21;86.93;1.84;88.86;1.03
22;66.0;1.839;66.0;1.0
21;42.54;1.84;121.65;2.67
22;-19.6;1.84;373.02;1.89
25;307.27;1.839;307.27;1.0
24;16.16;1.839;783.22;1.68
23;51.27;1.838;51.27;1.0
22;-142.26;1.839;186.9;3.0
22;-8.77;1.84;65.13;2.74
23;-40.1;1.841;88.54;3.0
26;357.73;1.84;357.73;1.0
22;69.68;1.84;69.68;1.09
26;60.53;1.839;80.23;1.01
26;159.3;1.839;228.64;1.77
21;134.4;1.839;225.73;2.35
26;108.45;1.839;112.38;1.22
22;103.75;1.838;103.75;1.05
21;60.95;1.838;60.95;1.04
25;26.09;1.837;246.6;1.54
21;67.31;1.837;67.31;1.02
23;-8.82;1.838;90.29;3.0
22;49.68;1.838;114.51;2.01
24;-67.49;1.839;107.33;3.0
24;-112.42;1.84;201.57;3.0
21;468.01;1.839;468.01;1.0
22;14.53;1.839;113.24;1.57
20;379.88;1.839;456.33;1.58
22;-740.58;1.839;171.82;3.0
22;-662.55;1.84;169.69;3.0
24;-158.46;1.841;161.49;3.0
21;252.91;1.84;252.91;1.0
23;402.53;1.84;402.53;1.01
21;42.9;1.839;64.27;1.21
21;71.62;1.839;74.17;1.08
25;-131.56;1.84;245.63;3.0
24;-231.08;1.841;186.77;3.0
24;-25.94;1.841;73.02;2.81
25;72.38;1.841;142.96;1.71
23;104.94;1.841;220.12;1.19
24;101.24;1.84;101.24;1.0
25;98.7;1.84;147.77;1.51
26;304.9;1.839;304.9;1.01
23;5.54;1.839;123.36;1.91
26;73.63;1.839;92.7;1.73
22;-543.35;1.84;264.16;3.0
21;208.43;1.839;208.43;1.0
26;82.15;1.839;82.15;1.01
24;375.09;1.839;468.3;2.22
27;-153.86;1.84;199.69;3.0
24;64.63;1.839;75.45;1.21
21;92.01;1.84;166.02;2.42
25;94.56;1.839;114.74;1.1
24;46.0;1.839;77.82;1.49
26;-56.99;1.839;320.22;1.91
24;69.66;1.839;162.1;1.72
22;231.79;1.838;245.63;1.15
23;41.15;1.839;98.48;2.52
21;275.95;1.839;330.79;1.51
28;276.11;1.838;276.11;1.06
25;109.29;1.838;109.29;1.03
24;-266.86;1.838;474.33;3.0
24;-1.16;1.838;115.2;1.89
23;-77.19;1.839;80.48;3.0
24;91.31;1.839;120.8;1.1
24;51.57;1.838;81.41;1.44
25;193.28;1.838;193.28;1.02
22;35.07;1.837;79.4;1.26
23;53.99;1.838;105.25;2.05
24;77.18;1.837;77.18;1.02
23;133.08;1.836;139.06;1.06
21;101.32;1.836;101.32;1.02
24;68.24;1.835;68.24;1.0
26;36.58;1.835;113.74;1.57
25;-235.52;1.836;297.16;3.0
22;147.71;1.835;147.71;1.04
22;138.31;1.835;138.31;1.0
21;358.47;1.834;360.09;1.04
22;34.68;1.834;58.88;1.44
21;64.35;1.834;85.19;1.56
25;-1040.59;1.835;79.33;3.0
23;-111.68;1.835;451.86;3.0
23;42.52;1.835;66.43;1.66
24;-117.6;1.836;90.2;3.0
22;398.89;1.836;398.89;1.0
21;109.71;1.836;129.05;1.89
21;-8.19;1.836;88.09;3.0
22;-300.31;1.837;319.56;3.0
25;-88.47;1.838;140.06;3.0
22;69.0;1.838;79.17;1.46
25;125.87;1.837;129.1;1.04
23;98.03;1.837;151.49;1.36
22;22.38;1.838;54.78;3.0
25;175.11;1.837;175.11;1.0
24;-144.31;1.838;120.55;3.0
24;179.75;1.838;192.94;1.46
25;218.68;1.837;218.68;1.0
24;205.99;1.837;461.24;1.87
22;56.98;1.838;105.36;2.49
22;-120.72;1.838;74.22;3.0
23;35.7;1.838;123.43;2.03
23;179.3;1.838;179.3;1.07
27;21.99;1.838;82.23;1.95
26;232.58;1.838;237.33;1.18
24;380.2;1.837;424.97;1.74
22;-625.82;1.838;479.67;3.0
25;-54.67;1.839;82.25;3.0
23;60.59;1.839;145.39;1.69
22;77.1;1.838;80.43;1.05
21;28.47;1.838;44.23;1.8
20;49.65;1.838;49.65;1.03
24;-401.39;1.839;237.77;3.0
22;170.06;1.839;229.91;1.78
23;-577.71;1.839;286.35;3.0
22;303.05;1.839;303.05;1.01
25;206.59;1.838;210.31;1.04
24;-14.7;1.839;141.96;2.27
21;185.31;1.838;185.31;1.02
24;-146.46;1.839;299.33;3.0
25;-463.48;1.84;195.61;3.0
25;-177.38;1.84;218.48;3.0
18;123.83;1.84;142.13;1.22
21;45.1;1.84;56.69;1.47
22;104.61;1.839;127.12;1.09
23;15.98;1.84;85.17;2.3
25;136.59;1.84;194.11;2.45
22;63.8;1.839;69.3;1.02
22;-27.56;1.84;65.01;3.0
22;63.2;1.84;63.2;1.0
24;43.62;1.84;66.73;1.66
24;14.83;1.84;161.75;2.05
22;-15.96;1.84;41.35;3.0
22;368.79;1.84;373.9;1.05
26;206.55;1.84;239.24;1.41
22;87.4;1.839;103.6;1.19
24;-401.53;1.84;207.23;3.0
23;124.04;1.839;124.93;1.05
23;59.14;1.839;59.14;1.03
23;414.99;1.838;414.99;1.08
23;56.38;1.838;72.84;1.19
22;236.81;1.837;237.8;1.02
23;-9.38;1.838;85.2;2.04
22;303.8;1.837;303.8;1.07
22;-1152.06;1.838;489.98;3.0
20;277.73;1.837;280.79;1.01
25;-6.49;1.838;106.67;2.22
21;-429.88;1.838;64.2;3.0
21;-297.48;1.839;128.11;3.0
21;72.67;1.839;97.28;1.09
22;68.19;1.838;68.19;1.0
26;308.81;1.838;310.67;1.07
25;75.67;1.837;82.46;1.04
22;45.46;1.837;59.28;1.21
24;228.75;1.836;229.76;1.05
24;42.15;1.836;103.06;1.15
21;-13.95;1.835;214.16;1.56
21;50.24;1.835;141.53;1.16
23;-277.76;1.836;204.16;3.0
21;302.72;1.835;304.71;1.06
23;48.69;1.835;86.87;1.96
22;40.34;1.835;49.25;1.17
24;201.26;1.834;201.26;1.03
21;15.75;1.835;56.51;2.5
23;51.99;1.834;51.99;1.0
22;-40.59;1.835;66.78;3.0
23;30.13;1.835;63.57;1.5
23;304.2;1.834;304.2;1.02
22;59.96;1.834;60.78;1.07
23;105.7;1.833;105.7;1.0
23;-85.73;1.834;56.11;3.0
21;-62.02;1.835;43.19;3.0
22;140.84;1.834;153.11;1.22
22;463.61;1.834;466.8;1.09
23;-28.46;1.835;49.36;3.0
25;47.04;1.834;58.12;1.15
