amount_of_players;round_result;MO;bank;real_x
16;-41.37;1.95;33.06;1.81
22;4.97;1.943;66.97;3.0
16;-64.6;1.987;54.22;1.0
23;118.66;1.948;118.66;1.91
23;11.8;1.946;78.03;1.09
26;246.21;1.915;258.2;1.19
19;232.01;1.889;275.38;2.24
22;38.4;1.9;96.93;1.1
25;143.59;1.873;147.43;1.08
24;144.34;1.848;145.53;1.35
22;29.96;1.834;54.47;3.0
17;29.84;1.87;114.69;1.0
22;44.82;1.844;44.82;1.09
22;61.66;1.823;74.52;1.64
17;15.27;1.817;30.69;1.16
17;106.98;1.8;117.3;1.51
21;46.69;1.792;89.66;1.38
22;29.08;1.782;45.96;1.35
18;28.59;1.772;36.05;1.28
23;41.61;1.761;49.12;2.14
17;-4.01;1.769;74.93;1.06
17;52.14;1.753;59.68;1.03
21;63.61;1.736;63.61;1.4
23;34.86;1.729;100.79;1.04
20;42.38;1.713;42.38;2.59
25;-32.51;1.732;116.78;1.02
17;49.95;1.717;49.95;2.37
19;42.13;1.731;81.83;1.1
18;50.16;1.718;66.32;1.09
19;96.18;1.706;103.38;3.0
25;-83.35;1.731;128.25;1.05
22;38.72;1.719;41.17;1.18
24;110.51;1.709;120.46;1.0
18;75.84;1.696;75.84;1.2
20;45.65;1.688;46.28;2.78
19;-256.49;1.707;627.37;3.0
20;-13.01;1.729;66.61;1.04
20;250.73;1.717;252.58;3.0
21;-55.87;1.738;61.43;3.0
18;-27.45;1.759;49.61;1.28
22;75.21;1.752;85.22;1.89
26;38.62;1.754;55.89;2.51
18;-27.74;1.766;129.9;1.32
24;70.32;1.758;79.91;1.76
20;122.0;1.759;196.66;3.0
24;-93.47;1.778;101.09;3.0
20;-1361.64;1.796;590.57;1.48
25;44.3;1.791;94.23;1.01
25;44.3;1.791;94.23;1.14
23;55.3;1.1;63.58;3.0
20;-23.11;2.05;98.79;1.0
18;71.19;1.7;71.19;3.0
23;-128.04;2.025;104.79;3.0
17;-109.1;2.22;120.0;2.47
17;-26.37;2.267;116.97;1.62
20;60.35;2.171;231.39;1.01
25;232.54;2.025;234.29;1.01
25;232.54;2.025;234.29;1.0
18;45.05;1.0;45.05;1.0
19;-72.39;2.5;130.43;1.01
18;400.37;1.75;401.01;1.19
20;65.83;1.567;93.31;1.49
20;31.73;1.55;52.94;2.73
19;-63.55;1.78;155.52;1.41
16;21.73;1.717;33.31;3.0
21;-172.24;1.9;139.64;1.0
20;45.91;1.788;45.91;1.02
16;23.6;1.7;23.6;3.0
19;-19.78;1.83;61.79;1.18
17;78.33;1.773;101.46;2.99
20;3.63;1.875;47.59;1.0
22;324.51;1.808;324.51;1.01
21;108.9;1.75;108.9;1.04
21;73.9;1.7;74.75;1.09
17;59.57;1.663;61.87;1.99
24;123.97;1.682;219.9;1.49
17;69.43;1.672;138.77;1.33
23;128.8;1.653;140.83;1.27
21;66.13;1.635;80.25;1.56
23;75.19;1.633;85.87;2.25
26;44.88;1.659;294.02;1.08
19;56.22;1.635;56.22;2.46
18;3.78;1.671;93.67;3.0
23;-78.14;1.724;62.75;3.0
21;-161.17;1.773;358.04;1.74
19;121.04;1.77;147.94;1.51
25;49.56;1.761;374.26;1.56
24;224.18;1.755;288.76;1.0
18;65.36;1.73;65.36;2.7
24;103.71;1.761;174.87;1.04
21;32.25;1.737;33.46;1.03
23;179.85;1.715;180.4;3.0
21;-200.63;1.753;232.19;3.0
21;-194.94;1.789;646.45;3.0
17;-188.58;1.822;380.84;2.22
16;-53.75;1.832;192.51;1.3
22;116.89;1.818;129.87;1.31
21;150.99;1.805;162.98;3.0
22;-34.5;1.835;62.95;1.05
24;35.39;1.817;36.55;3.0
20;-3725.98;1.845;262.06;1.44
16;27.6;1.835;31.39;1.89
21;-40.02;1.836;244.76;1.04
19;42.3;1.818;43.96;1.0
16;45.0;1.8;45.0;1.01
21;39.44;1.783;39.44;2.18
24;189.51;1.792;223.64;3.0
24;-38.47;1.816;113.79;3.0
16;-47.92;1.84;87.29;3.0
23;-33.09;1.863;92.3;1.24
23;75.19;1.85;99.65;2.33
20;28.95;1.858;104.67;3.0
23;-16.78;1.88;112.89;1.03
16;91.35;1.864;91.35;1.33
24;37.5;1.854;73.55;1.01
22;76.68;1.839;76.68;2.24
21;-4.79;1.845;74.15;1.0
22;57.74;1.831;57.74;1.43
24;43.29;1.823;59.79;2.3
22;-8.78;1.831;614.94;1.0
22;68.44;1.818;68.44;1.13
20;45.82;1.806;98.78;1.35
25;239.23;1.8;277.29;1.03
18;28.9;1.788;28.9;1.25
17;10.64;1.779;22.48;1.76
22;42.71;1.779;57.61;1.0
17;69.75;1.768;69.75;1.98
23;32.0;1.771;47.58;3.0
17;-265.01;1.789;311.67;1.72
18;11.55;1.787;59.46;1.43
25;275.79;1.782;281.89;1.02
18;94.06;1.771;94.06;1.01
18;130.47;1.761;130.47;3.0
19;-117.92;1.777;131.6;1.02
21;37.34;1.767;37.34;1.43
20;115.0;1.762;133.2;3.0
21;-79.69;1.778;51.61;1.15
20;218.27;1.77;398.37;2.62
17;-125.25;1.78;352.37;1.02
20;50.18;1.77;51.14;3.0
17;-86.61;1.785;46.06;1.52
17;-32.06;1.782;168.11;1.85
21;269.86;1.783;305.32;1.0
23;205.34;1.774;205.34;2.3
21;-24.6;1.78;89.34;3.0
22;-308.9;1.794;199.71;1.85
23;-9.54;1.795;135.54;3.0
17;-26.77;1.809;44.93;1.05
20;45.65;1.801;48.89;1.11
20;75.76;1.793;80.22;1.18
19;31.02;1.787;33.67;1.0
17;67.79;1.778;67.79;3.0
22;-27.88;1.791;72.48;1.17
21;26.37;1.785;44.5;3.0
22;-291.58;1.798;638.49;1.04
20;58.96;1.79;58.96;3.0
21;-107.24;1.802;102.69;2.63
22;249.86;1.81;324.58;1.14
24;83.86;1.803;111.12;1.11
23;289.46;1.796;332.75;1.28
22;182.81;1.791;483.15;1.36
23;31.66;1.787;64.96;3.0
22;-37.08;1.799;68.03;1.02
25;324.17;1.791;324.17;1.72
21;18.32;1.791;59.2;1.22
20;107.76;1.785;113.76;3.0
24;-61.24;1.796;80.9;3.0
22;-97.22;1.807;490.63;2.91
25;-44.95;1.817;126.47;1.25
22;73.51;1.812;77.26;1.87
23;709.77;1.812;726.85;3.0
22;-126.68;1.823;154.28;1.0
21;191.02;1.816;191.02;3.0
22;-435.13;1.826;51.55;1.24
21;209.6;1.821;225.57;1.0
22;55.44;1.814;55.44;3.0
25;-76.16;1.824;107.93;2.15
23;75.31;1.826;115.61;3.0
23;-60.25;1.836;59.19;2.77
22;-201.33;1.844;385.77;1.07
22;110.64;1.838;149.8;1.89
25;20.98;1.838;118.34;3.0
24;-452.22;1.848;142.96;1.0
22;50.31;1.841;50.31;1.05
22;70.43;1.835;71.02;3.0
22;-249.87;1.844;100.42;3.0
21;-246.61;1.853;98.38;1.29
24;105.69;1.849;146.19;1.1
22;149.24;1.843;152.7;2.01
22;5.19;1.844;115.38;3.0
23;-201.12;1.853;88.13;3.0
21;-83.69;1.862;73.58;2.65
21;3.51;1.867;49.14;1.06
21;76.54;1.861;76.54;1.41
24;821.97;1.858;838.24;1.13
24;833.12;1.853;844.23;3.0
26;-5147.96;1.861;1199.01;1.0
24;882.21;1.855;882.21;1.09
24;1023.06;1.849;1025.39;1.0
23;90.68;1.843;90.68;1.25
25;51.37;1.839;72.97;3.0
25;-122.09;1.847;221.43;3.0
21;-39.97;1.855;41.03;1.0
21;477.07;1.849;477.07;3.0
24;-92.58;1.857;369.46;3.0
24;-27.2;1.865;47.34;1.61
23;21.7;1.863;42.89;1.58
22;169.83;1.861;231.28;1.71
25;128.62;1.86;182.35;1.04
24;65.15;1.854;65.15;1.05
24;287.04;1.849;287.04;3.0
21;47.01;1.861;50.95;1.01
22;71.72;1.856;73.6;2.89
22;-22.91;1.862;50.77;1.1
22;146.84;1.858;175.76;1.01
22;118.07;1.852;118.07;2.87
24;-33.97;1.859;92.19;3.0
25;-601.11;1.866;202.11;3.0
21;-47.38;1.873;43.51;1.02
23;63.09;1.867;63.09;1.44
23;23.76;1.865;49.93;1.01
23;66.05;1.859;66.05;3.0
24;-402.16;1.866;289.28;3.0
23;-52.4;1.873;155.31;1.2
25;51.06;1.869;57.22;1.72
23;50.55;1.868;98.71;3.0
22;-8.74;1.875;94.19;1.02
20;237.56;1.87;237.56;1.0
25;610.89;1.865;610.89;1.97
24;40.57;1.865;74.92;1.83
24;17.91;1.865;63.46;3.0
24;-220.25;1.871;664.35;3.0
24;-147.52;1.878;229.55;2.39
22;39.53;1.881;62.94;1.04
22;72.02;1.876;92.0;1.96
23;15.8;1.877;121.02;1.41
22;45.24;1.874;96.76;1.08
22;71.95;1.87;71.95;3.0
25;-149.28;1.876;76.01;1.03
23;96.04;1.871;96.04;1.06
21;52.08;1.867;56.48;3.0
25;-279.5;1.873;142.04;1.07
21;50.32;1.869;59.69;3.0
25;-82.1;1.875;147.32;1.46
20;95.95;1.873;123.31;3.0
24;-260.63;1.879;505.02;1.55
22;223.13;1.877;251.22;2.67
25;-35.37;1.882;153.79;1.0
24;569.57;1.877;569.57;2.01
24;1.32;1.878;114.68;1.03
25;277.78;1.873;277.78;3.0
26;-683.58;1.879;623.27;1.0
23;85.73;1.874;85.73;1.94
22;32.82;1.875;87.7;1.0
25;192.55;1.87;192.55;1.02
25;155.26;1.866;157.3;3.0
23;-100.61;1.872;91.2;1.01
22;83.58;1.867;83.58;1.9
23;8.42;1.867;61.15;1.29
22;29.35;1.865;52.47;1.1
21;42.39;1.861;66.07;1.44
25;69.29;1.859;95.36;1.04
23;160.38;1.854;171.25;2.46
23;22.56;1.857;50.8;3.0
24;-53.68;1.863;91.06;1.0
0;74.11;1.868;74.11;3.0
25;-69.47;1.874;116.19;3.0
24;-256.61;1.879;101.34;1.28
21;99.43;1.876;107.53;2.55
27;-13.07;1.879;155.36;1.69
22;27.66;1.879;51.05;2.19
25;-6.2;1.88;156.64;1.09
23;200.3;1.876;219.39;1.63
27;30.94;1.875;622.15;1.31
23;118.06;1.872;129.82;3.0
25;-110.06;1.878;190.37;1.06
23;49.75;1.874;59.27;3.0
24;-5974.22;1.879;139.76;1.02
24;295.45;1.875;295.45;1.07
0;50.38;1.88;50.38;2.05
23;-78.25;1.881;261.84;3.0
26;-163.28;1.886;209.61;1.05
24;346.15;1.882;346.15;1.37
26;273.85;1.88;280.82;3.0
25;-40.25;1.885;527.08;3.0
23;-60.73;1.89;110.43;3.0
21;-94.72;1.895;170.33;3.0
25;-55.48;1.9;74.13;1.56
24;75.47;1.898;213.98;2.91
20;-24.18;1.903;69.02;1.05
23;330.21;1.899;337.37;3.0
23;-211.71;1.904;137.09;3.0
22;-18.51;1.908;44.09;3.0
27;-45.48;1.913;92.78;1.41
21;163.58;1.911;197.22;3.0
26;-302.97;1.915;401.05;1.64
26;63.34;1.914;96.28;3.0
22;-220.61;1.919;186.72;1.02
25;151.6;1.915;157.95;1.45
22;21.91;1.913;56.78;3.0
24;-88.81;1.917;57.73;1.04
21;198.74;1.913;198.74;3.0
24;-125.31;3.0;109.51;1.62
21;26.73;2.3;109.6;1.2
23;309.6;1.933;319.08;3.0
25;-201.49;2.2;131.73;1.02
24;99.1;1.96;101.09;3.0
22;-14.73;2.133;125.61;1.1
21;211.49;1.986;245.69;3.0
23;-87.31;2.112;114.88;1.31
23;47.89;2.022;70.36;3.0
21;-11.93;2.12;227.26;2.39
22;-67.88;2.145;124.7;1.29
25;152.77;2.075;262.98;3.0
23;-64.51;2.146;124.54;1.41
21;9.09;2.093;79.04;1.0
25;627.74;2.02;627.74;1.8
23;3.55;2.006;41.67;1.46
26;119.95;1.976;135.29;3.0
23;-231.02;2.033;493.48;2.39
25;-21.88;2.053;141.9;2.7
21;-16.32;2.085;85.2;3.0
26;-87.89;2.129;95.13;1.54
26;90.84;2.1;118.28;3.0
24;-133.62;2.139;99.52;1.07
22;94.06;2.096;100.75;2.57
22;-27.53;2.116;89.52;2.16
21;14.71;2.119;83.2;1.1
23;112.93;2.081;253.27;1.38
21;-5.5;2.057;401.72;1.76
22;37.57;2.048;75.16;3.0
22;-157.78;2.08;147.36;3.0
22;-69.39;2.11;77.2;1.04
24;444.06;2.075;449.3;3.0
23;257.87;2.103;416.94;1.67
21;59.49;2.091;133.85;1.01
24;400.15;2.06;400.15;3.0
25;-24.97;2.086;70.33;2.32
